CL_AGE,Codelist for age
Y27T28,From 27 to 28 years
Y_LE28,28 years or less
Y28,28 years
Y29,29 years
Y_GT29,Over 29 years
Y_LT30,Less than 30 years
Y_LE30,30 years or less
Y30,30 years
Y30T34,From 30 to 34 years
Y30T39,From 30 to 39 years
Y30T44,From 30 to 44 years
Y30T49,From 30 to 49 years
Y_GE30,30 years or over
Y_GT30,Over 30 years
Y31,31 years
Y32,32 years
Y33,33 years
Y34,34 years
Y_LT35,Less than 35 years
Y_LE35,35 years or less
Y35,35 years
Y35T39,From 35 to 39 years
Y35T44,From 35 to 44 years
Y35T54,From 35 to 54 years
Y_GE35,35 years or over
Y_GT35,Over 35 years
Y36,36 years
Y37,37 years
Y38,38 years
Y39,39 years
Y_LT40,Less than 40 years
Y_LE40,40 years or less
Y40,40 years
Y40T44,From 40 to 44 years
Y40T49,From 40 to 49 years
Y40T64,From 40 to 64 years
Y_GE40,40 years or over
Y_GT40,Over 40 years
Y41,41 years
Y41T50,From 41 to 50 years
Y42,42 years
Y43,43 years
Y_LE44,44 years or less
Y44,44 years
Y_LT45,Less than 45 years
Y_LE45,45 years or less
Y45,45 years
Y45T49,From 45 to 49 years
Y45T54,From 45 to 54 years
Y45T59,From 45 to 59 years
Y45T64,From 45 to 64 years
Y_GE45,45 years or over
Y_GT45,Over 45 years
Y46,46 years
Y47,47 years
Y48,48 years
Y49,49 years
Y_GT49,Over 49 years
Y_LT50,Less than 50 years
Y_LE50,50 years or less
Y50,50 years
Y50T54,From 50 to 54 years
Y50T59,From 50 to 59 years
Y50T64,From 50 to 64 years
Y50T69,From 50 to 69 years
Y50T74,From 50 to 74 years
Y_GE50,50 years or over
Y_GT50,Over 50 years
Y51,51 years
Y51T65,From 51 to 65 years
Y52,52 years
Y53,53 years
Y54,54 years
Y_LT55,Less than 55 years
Y_LE55,55 years or less
Y55,55 years
Y55T59,From 55 to 59 years
Y55T64,From 55 to 64 years
Y55T74,From 55 to 74 years
Y_GE55,55 years or over
Y_GT55,Over 55 years
Y56,56 years
Y57,57 years
Y58,58 years
Y59,59 years
Y_LT60,Less than 60 years
Y_LE60,60 years or less
Y60,60 years
Y60T64,From 60 to 64 years
Y60T99,From 60 to 99 years
Y_GE60,60 years or over
Y_GT60,Over 60 years
Y61,61 years
Y61T90,From 61 to 90 years
Y62,62 years
Y63,63 years
Y64,64 years
Y_GT64,Over 64 years
Y_LT65,Less than 65 years
Y_LE65,65 years or less
Y65,65 years
Y65T69,From 65 to 69 years
Y65T74,From 65 to 74 years
Y65T79,From 65 to 79 years
Y65T99,From 65 to 99 years
Y_GE65,65 years or over
Y_GT65,Over 65 years
Y66,66 years
Y66T75,From 66 to 75 years
Y67,67 years
Y68,68 years
Y69,69 years
Y_LT70,Less than 70 years
Y_LE70,70 years or less
Y70,70 years
Y70T74,From 70 to 74 years
Y70T99,From 70 to 99 years
Y_GE70,70 years or over
Y_GT70,Over 70 years
Y71,71 years
Y72,72 years
Y73,73 years
Y74,74 years
Y_LT75,Less than 75 years
Y_LE75,75 years or less
Y75,75 years
Y75T79,From 75 to 79 years
Y75T84,From 75 to 84 years
Y75T99,From 75 to 99 years
Y_GE75,75 years or over
Y_GT75,Over 75 years
Y76,76 years
Y_GE76,76 years or over
Y77,77 years
Y78,78 years
Y79,79 years
Y_LT80,Less than 80 years
Y_LE80,80 years or less
Y80,80 years
Y80T84,From 80 to 84 years
Y80T99,From 80 to 99 years
Y_GE80,80 years or over
Y_GT80,Over 80 years
Y81,81 years
Y82,82 years
Y83,83 years
Y84,84 years
Y_LT85,Less than 85 years
Y_LE85,85 years or less
Y85,85 years
Y85T89,From 85 to 89 years
Y85T99,From 85 to 99 years
Y_GE85,85 years or over
Y_GT85,Over 85 years
Y86,86 years
Y87,87 years
Y88,88 years
Y89,89 years
Y_LT90,Less than 90 years
Y_LE90,90 years or less
Y90,90 years
Y90T94,From 90 to 94 years
Y_GE90,90 years or over
Y_GT90,Over 90 years
Y91,91 years
Y92,92 years
Y93,93 years
Y94,94 years
Y_LT95,Less than 95 years
Y_LE95,95 years or less
Y95,95 years
Y_GE95,95 years or over
Y_GT95,Over 95 years
Y96,96 years
Y97,97 years
Y98,98 years
Y99,99 years
Y100,100 years
Y101,101 years
Y102,102 years
Y103,103 years
Y104,104 years
Y105,105 years
Y106,106 years
Y107,107 years
Y108,108 years
Y109,109 years
_Z,Not applicable
